Charge Amount,Bank,Place of Business
$124.25,Bank of America,"Microsoft\n Store"
$125.25,Chase,"Jack in\n the box"
$126.25,Wells Fargo,"Mcdon\nalds"
$127.25,Bank of America,"Wen\ndys"
$128.25,Chase,"Apple\n Store"
$129.25,Wells Fargo,"Microsoft\n Store"
$130.25,Bank of America,"Jack in\n the box"
$131.25,Chase,"Mcdon\nalds"
$132.25,Wells Fargo,"Wen\ndys"
$133.25,Bank of America,"Apple\n Store"
$134.25,Chase,"Microsoft\n Store"
$135.25,Wells Fargo,"Jack in\n the box"
$136.25,Bank of America,"Mcdon\nalds"
$137.25,Chase,"Wen\ndys"
$138.25,Wells Fargo,"Apple\n Store"
$139.25,Bank of America,"Microsoft\n Store"
$140.25,Chase,"Jack in\n the box"
$141.25,Wells Fargo,"Mcdon\nalds"
$142.25,Bank of America,"Wen\ndys"
$143.25,Chase,"Apple\n Store"
$144.25,Wells Fargo,"Microsoft\n Store"
$145.25,Bank of America,"Jack in\n the box"
$146.25,Chase,"Mcdon\nalds"
$147.25,Wells Fargo,"Wen\ndys"
$148.25,Bank of America,"Apple\n Store"
$149.25,Chase,"Microsoft\n Store"
$150.25,Wells Fargo,"Jack in\n the box"
$151.25,Bank of America,"Mcdon\nalds"
$152.25,Chase,"Wen\ndys"
$153.25,Wells Fargo,"Apple\n Store"
$154.25,Bank of America,"Microsoft\n Store"
$155.25,Chase,"Jack in\n the box"
$156.25,Wells Fargo,"Mcdon\nalds"
$157.25,Bank of America,"Wen\ndys"
$158.25,Chase,"Apple\n Store"
$159.25,Wells Fargo,"Microsoft\n Store"
$160.25,Bank of America,"Jack in\n the box"
$161.25,Chase,"Mcdon\nalds"
$162.25,Wells Fargo,"Wen\ndys"
$163.25,Bank of America,"Apple\n Store"
$164.25,Chase,"Microsoft\n Store"
$165.25,Wells Fargo,"Jack in\n the box"
$166.25,Bank of America,"Mcdon\nalds"
$167.25,Chase,"Wen\ndys"
$168.25,Wells Fargo,"Apple\n Store"
$169.25,Bank of America,"Microsoft\n Store"
$170.25,Chase,"Jack in\n the box"
$171.25,Wells Fargo,"Mcdon\nalds"
$172.25,Bank of America,"Wen\ndys"
$173.25,Chase,"Apple\n Store"
$174.25,Wells Fargo,"Microsoft\n Store"
$175.25,Bank of America,"Jack in\n the box"
$176.25,Chase,"Mcdon\nalds"
$177.25,Wells Fargo,"Wen\ndys"
$178.25,Bank of America,"Apple\n Store"
$179.25,Chase,"Microsoft\n Store"
$180.25,Wells Fargo,"Jack in\n the box"
$181.25,Bank of America,"Mcdon\nalds"
$182.25,Chase,"Wen\ndys"
$183.25,Wells Fargo,"Apple\n Store"
$184.25,Bank of America,"Microsoft\n Store"
$185.25,Chase,"Jack in\n the box"
$186.25,Wells Fargo,"Mcdon\nalds"
$187.25,Bank of America,"Wen\ndys"
$188.25,Chase,"Apple\n Store"
$189.25,Wells Fargo,"Microsoft\n Store"
$190.25,Bank of America,"Jack in\n the box"
$191.25,Chase,"Mcdon\nalds"
$192.25,Wells Fargo,"Wen\ndys"
$193.25,Bank of America,"Apple\n Store"
$194.25,Chase,"Microsoft\n Store"
$195.25,Wells Fargo,"Jack in\n the box"
$196.25,Bank of America,"Mcdon\nalds"
$197.25,Chase,"Wen\ndys"
$198.25,Wells Fargo,"Apple\n Store"
$199.25,Bank of America,"Microsoft\n Store"
$200.25,Chase,"Jack in\n the box"
$201.25,Wells Fargo,"Mcdon\nalds"
$202.25,Bank of America,"Wen\ndys"
$203.25,Chase,"Apple\n Store"
$204.25,Wells Fargo,"Microsoft\n Store"
$205.25,Bank of America,"Jack in\n the box"
$206.25,Chase,"Mcdon\nalds"
$207.25,Wells Fargo,"Wen\ndys"
$208.25,Bank of America,"Apple\n Store"
$209.25,Chase,"Microsoft\n Store"
$210.25,Wells Fargo,"Jack in\n the box"
$211.25,Bank of America,"Mcdon\nalds"
$212.25,Chase,"Wen\ndys"
$213.25,Wells Fargo,"Apple\n Store"
$214.25,Bank of America,"Microsoft\n Store"
$215.25,Chase,"Jack in\n the box"
$216.25,Wells Fargo,"Mcdon\nalds"
$217.25,Bank of America,"Wen\ndys"
$218.25,Chase,"Apple\n Store"
$219.25,Wells Fargo,"Microsoft\n Store"
$220.25,Bank of America,"Jack in\n the box"
$221.25,Chase,"Mcdon\nalds"
$222.25,Wells Fargo,"Wen\ndys"
$223.25,Bank of America,"Apple\n Store"
$224.25,Chase,"Microsoft\n Store"
$225.25,Wells Fargo,"Jack in\n the box"
$226.25,Bank of America,"Mcdon\nalds"
$227.25,Chase,"Wen\ndys"
$228.25,Wells Fargo,"Apple\n Store"
$229.25,Bank of America,"Microsoft\n Store"
$230.25,Chase,"Jack in\n the box"
$231.25,Wells Fargo,"Mcdon\nalds"
$232.25,Bank of America,"Wen\ndys"
$233.25,Chase,"Apple\n Store"
$234.25,Wells Fargo,"Microsoft\n Store"
$235.25,Bank of America,"Jack in\n the box"
$236.25,Chase,"Mcdon\nalds"
$237.25,Wells Fargo,"Wen\ndys"
$238.25,Bank of America,"Apple\n Store"
$239.25,Chase,"Microsoft\n Store"
$240.25,Wells Fargo,"Jack in\n the box"
$241.25,Bank of America,"Mcdon\nalds"
$242.25,Chase,"Wen\ndys"
$243.25,Wells Fargo,"Apple\n Store"
$244.25,Bank of America,"Microsoft\n Store"
$245.25,Chase,"Jack in\n the box"
$246.25,Wells Fargo,"Mcdon\nalds"
$247.25,Bank of America,"Wen\ndys"
$248.25,Chase,"Apple\n Store"
$249.25,Wells Fargo,"Microsoft\n Store"
$250.25,Bank of America,"Jack in\n the box"
$251.25,Chase,"Mcdon\nalds"
$252.25,Wells Fargo,"Wen\ndys"
$253.25,Bank of America,"Apple\n Store"
$254.25,Chase,"Microsoft\n Store"
$255.25,Wells Fargo,"Jack in\n the box"
$256.25,Bank of America,"Mcdon\nalds"
$257.25,Chase,"Wen\ndys"
$258.25,Wells Fargo,"Apple\n Store"
$259.25,Bank of America,"Microsoft\n Store"
$260.25,Chase,"Jack in\n the box"
$261.25,Wells Fargo,"Mcdon\nalds"
$262.25,Bank of America,"Wen\ndys"
$263.25,Chase,"Apple\n Store"
$264.25,Wells Fargo,"Microsoft\n Store"
$265.25,Bank of America,"Jack in\n the box"
$266.25,Chase,"Mcdon\nalds"
$267.25,Wells Fargo,"Wen\ndys"
$268.25,Bank of America,"Apple\n Store"
$269.25,Chase,"Microsoft\n Store"
$270.25,Wells Fargo,"Jack in\n the box"
$271.25,Bank of America,"Mcdon\nalds"
$272.25,Chase,"Wen\ndys"
$273.25,Wells Fargo,"Apple\n Store"
$274.25,Bank of America,"Microsoft\n Store"
$275.25,Chase,"Jack in\n the box"
$276.25,Wells Fargo,"Mcdon\nalds"
$277.25,Bank of America,"Wen\ndys"
$278.25,Chase,"Apple\n Store"
$279.25,Wells Fargo,"Microsoft\n Store"
$280.25,Bank of America,"Jack in\n the box"
$281.25,Chase,"Mcdon\nalds"
$282.25,Wells Fargo,"Wen\ndys"
$283.25,Bank of America,"Apple\n Store"
$284.25,Chase,"Microsoft\n Store"
$285.25,Wells Fargo,"Jack in\n the box"
$286.25,Bank of America,"Mcdon\nalds"
$287.25,Chase,"Wen\ndys"
$288.25,Wells Fargo,"Apple\n Store"
$289.25,Bank of America,"Microsoft\n Store"
$290.25,Chase,"Jack in\n the box"
$291.25,Wells Fargo,"Mcdon\nalds"
$292.25,Bank of America,"Wen\ndys"
$293.25,Chase,"Apple\n Store"
$294.25,Wells Fargo,"Microsoft\n Store"
$295.25,Bank of America,"Jack in\n the box"
$296.25,Chase,"Mcdon\nalds"
$297.25,Wells Fargo,"Wen\ndys"
$298.25,Bank of America,"Apple\n Store"
$299.25,Chase,"Microsoft\n Store"
$300.25,Wells Fargo,"Jack in\n the box"
$301.25,Bank of America,"Mcdon\nalds"
$302.25,Chase,"Wen\ndys"
$303.25,Wells Fargo,"Apple\n Store"
$304.25,Bank of America,"Microsoft\n Store"
$305.25,Chase,"Jack in\n the box"
$306.25,Wells Fargo,"Mcdon\nalds"
$307.25,Bank of America,"Wen\ndys"
$308.25,Chase,"Apple\n Store"
$309.25,Wells Fargo,"Microsoft\n Store"
$310.25,Bank of America,"Jack in\n the box"
$311.25,Chase,"Mcdon\nalds"
$312.25,Wells Fargo,"Wen\ndys"
$313.25,Bank of America,"Apple\n Store"
$314.25,Chase,"Microsoft\n Store"
$315.25,Wells Fargo,"Jack in\n the box"
$316.25,Bank of America,"Mcdon\nalds"
$317.25,Chase,"Wen\ndys"
$318.25,Wells Fargo,"Apple\n Store"
$319.25,Bank of America,"Microsoft\n Store"
$320.25,Chase,"Jack in\n the box"
$321.25,Wells Fargo,"Mcdon\nalds"
$322.25,Bank of America,"Wen\ndys"
$323.25,Chase,"Apple\n Store"
$324.25,Wells Fargo,"Microsoft\n Store"
$325.25,Bank of America,"Jack in\n the box"
$326.25,Chase,"Mcdon\nalds"
$327.25,Wells Fargo,"Wen\ndys"
$328.25,Bank of America,"Apple\n Store"
$329.25,Chase,"Microsoft\n Store"
$330.25,Wells Fargo,"Jack in\n the box"
$331.25,Bank of America,"Mcdon\nalds"
$332.25,Chase,"Wen\ndys"
$333.25,Wells Fargo,"Apple\n Store"
$334.25,Bank of America,"Microsoft\n Store"
$335.25,Chase,"Jack in\n the box"
$336.25,Wells Fargo,"Mcdon\nalds"
$337.25,Bank of America,"Wen\ndys"
$338.25,Chase,"Apple\n Store"
$339.25,Wells Fargo,"Microsoft\n Store"
$340.25,Bank of America,"Jack in\n the box"
$341.25,Chase,"Mcdon\nalds"
$342.25,Wells Fargo,"Wen\ndys"
$343.25,Bank of America,"Apple\n Store"
$344.25,Chase,"Microsoft\n Store"
$345.25,Wells Fargo,"Jack in\n the box"
$346.25,Bank of America,"Mcdon\nalds"
$347.25,Chase,"Wen\ndys"
$348.25,Wells Fargo,"Apple\n Store"
$349.25,Bank of America,"Microsoft\n Store"
$350.25,Chase,"Jack in\n the box"
$351.25,Wells Fargo,"Mcdon\nalds"
$352.25,Bank of America,"Wen\ndys"
$353.25,Chase,"Apple\n Store"
$354.25,Wells Fargo,"Microsoft\n Store"
$355.25,Bank of America,"Jack in\n the box"
$356.25,Chase,"Mcdon\nalds"
$357.25,Wells Fargo,"Wen\ndys"
$358.25,Bank of America,"Apple\n Store"
$359.25,Chase,"Microsoft\n Store"
$360.25,Wells Fargo,"Jack in\n the box"
$361.25,Bank of America,"Mcdon\nalds"
$362.25,Chase,"Wen\ndys"
$363.25,Wells Fargo,"Apple\n Store"
$364.25,Bank of America,"Microsoft\n Store"
$365.25,Chase,"Jack in\n the box"
$366.25,Wells Fargo,"Mcdon\nalds"
$367.25,Bank of America,"Wen\ndys"
$368.25,Chase,"Apple\n Store"
$369.25,Wells Fargo,"Microsoft\n Store"
$370.25,Bank of America,"Jack in\n the box"
$371.25,Chase,"Mcdon\nalds"
$372.25,Wells Fargo,"Wen\ndys"
$373.25,Bank of America,"Apple\n Store"
$374.25,Chase,"Microsoft\n Store"
$375.25,Wells Fargo,"Jack in\n the box"
$376.25,Bank of America,"Mcdon\nalds"
$377.25,Chase,"Wen\ndys"
$378.25,Wells Fargo,"Apple\n Store"
$379.25,Bank of America,"Microsoft\n Store"
$380.25,Chase,"Jack in\n the box"
$381.25,Wells Fargo,"Mcdon\nalds"
$382.25,Bank of America,"Wen\ndys"
$383.25,Chase,"Apple\n Store"
$384.25,Wells Fargo,"Microsoft\n Store"
$385.25,Bank of America,"Jack in\n the box"
$386.25,Chase,"Mcdon\nalds"
$387.25,Wells Fargo,"Wen\ndys"
$388.25,Bank of America,"Apple\n Store"
$389.25,Chase,"Microsoft\n Store"
$390.25,Wells Fargo,"Jack in\n the box"
$391.25,Bank of America,"Mcdon\nalds"
$392.25,Chase,"Wen\ndys"
$393.25,Wells Fargo,"Apple\n Store"
$394.25,Bank of America,"Microsoft\n Store"
$395.25,Chase,"Jack in\n the box"
$396.25,Wells Fargo,"Mcdon\nalds"
$397.25,Bank of America,"Wen\ndys"
$398.25,Chase,"Apple\n Store"
$399.25,Wells Fargo,"Microsoft\n Store"
$400.25,Bank of America,"Jack in\n the box"
$401.25,Chase,"Mcdon\nalds"
$402.25,Wells Fargo,"Wen\ndys"
$403.25,Bank of America,"Apple\n Store"
$404.25,Chase,"Microsoft\n Store"
$405.25,Wells Fargo,"Jack in\n the box"
$406.25,Bank of America,"Mcdon\nalds"
$407.25,Chase,"Wen\ndys"
$408.25,Wells Fargo,"Apple\n Store"
$409.25,Bank of America,"Microsoft\n Store"
$410.25,Chase,"Jack in\n the box"
$411.25,Wells Fargo,"Mcdon\nalds"
$412.25,Bank of America,"Wen\ndys"
$413.25,Chase,"Apple\n Store"
$414.25,Wells Fargo,"Microsoft\n Store"
$415.25,Bank of America,"Jack in\n the box"
$416.25,Chase,"Mcdon\nalds"
$417.25,Wells Fargo,"Wen\ndys"
$418.25,Bank of America,"Apple\n Store"
$419.25,Chase,"Microsoft\n Store"
$420.25,Wells Fargo,"Jack in\n the box"
$421.25,Bank of America,"Mcdon\nalds"
$422.25,Chase,"Wen\ndys"
$423.25,Wells Fargo,"Apple\n Store"
$424.25,Bank of America,"Microsoft\n Store"
$425.25,Chase,"Jack in\n the box"
$426.25,Wells Fargo,"Mcdon\nalds"
$427.25,Bank of America,"Wen\ndys"
$428.25,Chase,"Apple\n Store"
$429.25,Wells Fargo,"Microsoft\n Store"
$430.25,Bank of America,"Jack in\n the box"
$431.25,Chase,"Mcdon\nalds"
$432.25,Wells Fargo,"Wen\ndys"
$433.25,Bank of America,"Apple\n Store"
$434.25,Chase,"Microsoft\n Store"
$435.25,Wells Fargo,"Jack in\n the box"
$436.25,Bank of America,"Mcdon\nalds"
$437.25,Chase,"Wen\ndys"
$438.25,Wells Fargo,"Apple\n Store"
$439.25,Bank of America,"Microsoft\n Store"
$440.25,Chase,"Jack in\n the box"
$441.25,Wells Fargo,"Mcdon\nalds"
$442.25,Bank of America,"Wen\ndys"
$443.25,Chase,"Apple\n Store"
$444.25,Wells Fargo,"Microsoft\n Store"
$445.25,Bank of America,"Jack in\n the box"
$446.25,Chase,"Mcdon\nalds"
$447.25,Wells Fargo,"Wen\ndys"
$448.25,Bank of America,"Apple\n Store"
$449.25,Chase,"Microsoft\n Store"
$450.25,Wells Fargo,"Jack in\n the box"
$451.25,Bank of America,"Mcdon\nalds"
$452.25,Chase,"Wen\ndys"
$453.25,Wells Fargo,"Apple\n Store"
$454.25,Bank of America,"Microsoft\n Store"
$455.25,Chase,"Jack in\n the box"
$456.25,Wells Fargo,"Mcdon\nalds"
$457.25,Bank of America,"Wen\ndys"
$458.25,Chase,"Apple\n Store"
$459.25,Wells Fargo,"Microsoft\n Store"
$460.25,Bank of America,"Jack in\n the box"
$461.25,Chase,"Mcdon\nalds"
$462.25,Wells Fargo,"Wen\ndys"
$463.25,Bank of America,"Apple\n Store"
$464.25,Chase,"Microsoft\n Store"
$465.25,Wells Fargo,"Jack in\n the box"
$466.25,Bank of America,"Mcdon\nalds"
$467.25,Chase,"Wen\ndys"
$468.25,Wells Fargo,"Apple\n Store"
$469.25,Bank of America,"Microsoft\n Store"
$470.25,Chase,"Jack in\n the box"
$471.25,Wells Fargo,"Mcdon\nalds"
$472.25,Bank of America,"Wen\ndys"
$473.25,Chase,"Apple\n Store"
$474.25,Wells Fargo,"Microsoft\n Store"
$475.25,Bank of America,"Jack in\n the box"
$476.25,Chase,"Mcdon\nalds"
$477.25,Wells Fargo,"Wen\ndys"
$478.25,Bank of America,"Apple\n Store"
$479.25,Chase,"Microsoft\n Store"
$480.25,Wells Fargo,"Jack in\n the box"
$481.25,Bank of America,"Mcdon\nalds"
$482.25,Chase,"Wen\ndys"
$483.25,Wells Fargo,"Apple\n Store"
$484.25,Bank of America,"Microsoft\n Store"
$485.25,Chase,"Jack in\n the box"
$486.25,Wells Fargo,"Mcdon\nalds"
$487.25,Bank of America,"Wen\ndys"
$488.25,Chase,"Apple\n Store"
$489.25,Wells Fargo,"Microsoft\n Store"
$490.25,Bank of America,"Jack in\n the box"
$491.25,Chase,"Mcdon\nalds"
$492.25,Wells Fargo,"Wen\ndys"
$493.25,Bank of America,"Apple\n Store"
$494.25,Chase,"Microsoft\n Store"
$495.25,Wells Fargo,"Jack in\n the box"
$496.25,Bank of America,"Mcdon\nalds"
$497.25,Chase,"Wen\ndys"
$498.25,Wells Fargo,"Apple\n Store"
$499.25,Bank of America,"Microsoft\n Store"
$500.25,Chase,"Jack in\n the box"
$501.25,Wells Fargo,"Mcdon\nalds"
$502.25,Bank of America,"Wen\ndys"
$503.25,Chase,"Apple\n Store"
$504.25,Wells Fargo,"Microsoft\n Store"
$505.25,Bank of America,"Jack in\n the box"
$506.25,Chase,"Mcdon\nalds"
$507.25,Wells Fargo,"Wen\ndys"
$508.25,Bank of America,"Apple\n Store"
$509.25,Chase,"Microsoft\n Store"
$510.25,Wells Fargo,"Jack in\n the box"
$511.25,Bank of America,"Mcdon\nalds"
$512.25,Chase,"Wen\ndys"
$513.25,Wells Fargo,"Apple\n Store"
$514.25,Bank of America,"Microsoft\n Store"
$515.25,Chase,"Jack in\n the box"
$516.25,Wells Fargo,"Mcdon\nalds"
$517.25,Bank of America,"Wen\ndys"
$518.25,Chase,"Apple\n Store"
$519.25,Wells Fargo,"Microsoft\n Store"
$520.25,Bank of America,"Jack in\n the box"
$521.25,Chase,"Mcdon\nalds"
$522.25,Wells Fargo,"Wen\ndys"
$523.25,Bank of America,"Apple\n Store"
$524.25,Chase,"Microsoft\n Store"
$525.25,Wells Fargo,"Jack in\n the box"
$526.25,Bank of America,"Mcdon\nalds"
$527.25,Chase,"Wen\ndys"
$528.25,Wells Fargo,"Apple\n Store"
$529.25,Bank of America,"Microsoft\n Store"
$530.25,Chase,"Jack in\n the box"
$531.25,Wells Fargo,"Mcdon\nalds"
$532.25,Bank of America,"Wen\ndys"
$533.25,Chase,"Apple\n Store"
$534.25,Wells Fargo,"Microsoft\n Store"
$535.25,Bank of America,"Jack in\n the box"
$536.25,Chase,"Mcdon\nalds"
$537.25,Wells Fargo,"Wen\ndys"
$538.25,Bank of America,"Apple\n Store"
$539.25,Chase,"Microsoft\n Store"
$540.25,Wells Fargo,"Jack in\n the box"
$541.25,Bank of America,"Mcdon\nalds"
$542.25,Chase,"Wen\ndys"
$543.25,Wells Fargo,"Apple\n Store"
$544.25,Bank of America,"Microsoft\n Store"
$545.25,Chase,"Jack in\n the box"
$546.25,Wells Fargo,"Mcdon\nalds"
$547.25,Bank of America,"Wen\ndys"
$548.25,Chase,"Apple\n Store"
$549.25,Wells Fargo,"Microsoft\n Store"
$550.25,Bank of America,"Jack in\n the box"
$551.25,Chase,"Mcdon\nalds"
$552.25,Wells Fargo,"Wen\ndys"
$553.25,Bank of America,"Apple\n Store"
$554.25,Chase,"Microsoft\n Store"
$555.25,Wells Fargo,"Jack in\n the box"
$556.25,Bank of America,"Mcdon\nalds"
$557.25,Chase,"Wen\ndys"
$558.25,Wells Fargo,"Apple\n Store"
$559.25,Bank of America,"Microsoft\n Store"
$560.25,Chase,"Jack in\n the box"
$561.25,Wells Fargo,"Mcdon\nalds"
$562.25,Bank of America,"Wen\ndys"
$563.25,Chase,"Apple\n Store"
$564.25,Wells Fargo,"Microsoft\n Store"
$565.25,Bank of America,"Jack in\n the box"
$566.25,Chase,"Mcdon\nalds"
$567.25,Wells Fargo,"Wen\ndys"
$568.25,Bank of America,"Apple\n Store"
$569.25,Chase,"Microsoft\n Store"
$570.25,Wells Fargo,"Jack in\n the box"
$571.25,Bank of America,"Mcdon\nalds"
$572.25,Chase,"Wen\ndys"
$573.25,Wells Fargo,"Apple\n Store"
$574.25,Bank of America,"Microsoft\n Store"
$575.25,Chase,"Jack in\n the box"
$576.25,Wells Fargo,"Mcdon\nalds"
$577.25,Bank of America,"Wen\ndys"
$578.25,Chase,"Apple\n Store"
$579.25,Wells Fargo,"Microsoft\n Store"
$580.25,Bank of America,"Jack in\n the box"
$581.25,Chase,"Mcdon\nalds"
$582.25,Wells Fargo,"Wen\ndys"
$583.25,Bank of America,"Apple\n Store"
$584.25,Chase,"Microsoft\n Store"
$585.25,Wells Fargo,"Jack in\n the box"
$586.25,Bank of America,"Mcdon\nalds"
$587.25,Chase,"Wen\ndys"
$588.25,Wells Fargo,"Apple\n Store"
$589.25,Bank of America,"Microsoft\n Store"
$590.25,Chase,"Jack in\n the box"
$591.25,Wells Fargo,"Mcdon\nalds"
$592.25,Bank of America,"Wen\ndys"
$593.25,Chase,"Apple\n Store"
$594.25,Wells Fargo,"Microsoft\n Store"
$595.25,Bank of America,"Jack in\n the box"
$596.25,Chase,"Mcdon\nalds"
$597.25,Wells Fargo,"Wen\ndys"
$598.25,Bank of America,"Apple\n Store"
$599.25,Chase,"Microsoft\n Store"
$600.25,Wells Fargo,"Jack in\n the box"
$601.25,Bank of America,"Mcdon\nalds"
$602.25,Chase,"Wen\ndys"
$603.25,Wells Fargo,"Apple\n Store"
$604.25,Bank of America,"Microsoft\n Store"
$605.25,Chase,"Jack in\n the box"
$606.25,Wells Fargo,"Mcdon\nalds"
$607.25,Bank of America,"Wen\ndys"
$608.25,Chase,"Apple\n Store"
$609.25,Wells Fargo,"Microsoft\n Store"
$610.25,Bank of America,"Jack in\n the box"
$611.25,Chase,"Mcdon\nalds"
$612.25,Wells Fargo,"Wen\ndys"
$613.25,Bank of America,"Apple\n Store"
$614.25,Chase,"Microsoft\n Store"
$615.25,Wells Fargo,"Jack in\n the box"
$616.25,Bank of America,"Mcdon\nalds"
$617.25,Chase,"Wen\ndys"
$618.25,Wells Fargo,"Apple\n Store"
$619.25,Bank of America,"Microsoft\n Store"
$620.25,Chase,"Jack in\n the box"
$621.25,Wells Fargo,"Mcdon\nalds"
$622.25,Bank of America,"Wen\ndys"
$623.25,Chase,"Apple\n Store"
$624.25,Wells Fargo,"Microsoft\n Store"
$625.25,Bank of America,"Jack in\n the box"
$626.25,Chase,"Mcdon\nalds"
$627.25,Wells Fargo,"Wen\ndys"
$628.25,Bank of America,"Apple\n Store"
$629.25,Chase,"Microsoft\n Store"
$630.25,Wells Fargo,"Jack in\n the box"
$631.25,Bank of America,"Mcdon\nalds"
$632.25,Chase,"Wen\ndys"
$633.25,Wells Fargo,"Apple\n Store"
